"MovieName","Genre"
"Sparks","Action"
"Spectral","Thriller"
"Spectre","Action"
"Speed 2: Cruise Control","Action"
"Spider-Man","Fantasy"
"Spider-Man 2","Action"
"Spider-Man 3","Fantasy"
"Split Second","Action"
"Spotlight","Drama"
"Spy","Crime"
"Stand by Me","Crime"
"Star Wars: Episode I - The Phantom Menace","Adventure"
"Star Wars: Episode II - Attack of the Clones","Adventure"
"Star Wars: Episode III - Revenge of the Sith","Science Fiction"
"Star Wars","Adventure"
"Star Wars: Episode V - The Empire Strikes Back","Adventure"
"Star Wars: Episode VI - Return of the Jedi","Adventure"
"Star Wars: The Force Awakens","Action"
"9/11 State of Emergency","Documentary"
"Stay Alive","Horror"
"Stiletto","Action"
"Still of the Night","Thriller"
"Stolen","Action"
"Stonehenge Apocalypse","Action"
"Storks","Animation"
"Straight Outta Compton","Drama"
"Street Smart","Thriller"
"Striking Distance","Crime"
"Submerged","Action"
"Submerged","Thriller"
"Suicide Squad","Action"
"Sully","Drama"
"Summer Lovers","Drama"
"Sunshine","Science Fiction"
"Superman","Fantasy"
"Superman/Batman: Apocalypse","Animation"
"Superman II","Action"
"Superman III","Comedy"
"Supervolcano","Action"
"Surviving Christmas","Comedy"
"Survivor","Crime"
"Swerve","Crime"
"Take a Hard Ride","Action"
"Taken 3","Crime"
"Tangled","Animation"
"Tarzan","Animation"
"Taxi Driver","Crime"
"Ted","Comedy"
"Ted 2","Comedy"
"Teenage Mutant Ninja Turtles","Science Fiction"
"Teenage Mutant Ninja Turtles","Science Fiction"
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","Science Fiction"
"Teenage Mutant Ninja Turtles III","Action"
"Tekken: Blood Vengeance","Action"
"Tekken: Kazuya's Revenge","Action"
"Tell","Drama"
"Tequila Sunrise","Action"
"The Terminator","Action"
"Terminator Genisys","Science Fiction"
"The 5th Wave","Adventure"
"The 6th Day","Science Fiction"
"The 33","History"
"The Abyss","Adventure"
"The Accountant","Crime"
"The Addams Family","Comedy"
"The Amazing Spider-Man","Action"
"The Amazing Spider-Man 2","Action"
"The American President","Comedy"
"The Andromeda Strain","Drama"
"The Andromeda Strain (Mini-Series","Sci-Fi"
"The Aristocats","Animation"
"The Art of the Steal","Comedy"
"The Assassin","Drama"
"The Avengers","Science Fiction"
"The Bag Man","Crime"
"The Beat That My Heart Skipped","Drama"
"The BFG","Adventure"
"The Big Brawl","Action"
"The Black Stallion","Adventure"
"The Bodyguard","Thriller"
"The Book of Life","Romance"
"The Boss","Comedy"
"The Boxtrolls","Fantasy"
"The Boy","Horror"
"The Boys from Brazil","Drama"
"The Break-Up","Comedy"
"The Brides of Dracula","Horror"
"The Bridge on the River Kwai","Drama"
"The Call","Thriller"
"The Callback Queen","Romance"
"The Cannonball Run","Comedy"
"The Choice","Drama"
"The Cloth","Fantasy"
"The Condemned 2","Action"
"The Core","Action"
"The Corruptor","Action"
"The Crying Game","Romance"
"The Cure","Thriller"
"The Da Vinci Code","Thriller"
"The Dark Half","Mystery"
"The Dark Knight","Drama"
"The Dark Knight Rises","Action"
"The Day After","Science Fiction"
"The Departed","Drama"
"The Devil's Rejects","Drama"
"The Drop","Drama"
"The East","Drama"
"The Edge of Seventeen","Comedy"
"The Equalizer","Thriller"
"The Escapist","Action"
"The Evil of Frankenstein","Horror"
"The Exorcism of Emily Rose","Crime"
"The Expendables 2","Action"
"The Expendables 3","Action"
"The Factory","Crime"
"We Are The Nobles","Comedy"
"The Family Stone","Comedy"
"The Fast and the Furious: Tokyo Drift","Action"
"The Fifth Element","Adventure"
"The Fifth Estate","Drama"
"The Fly","Horror"
"The Fox and the Hound","Adventure"
"The Fox and the Hound 2","Adventure"
"The Frozen Ground","Thriller"
"The Gambler","Thriller"
"The Getaway","Romance"
"The Girl with All the Gifts","Drama"
"The Glass Shield","Drama"
"The Good Dinosaur","Fantasy"
"The Good Shepherd","Drama"
"The Great Gatsby","Drama"
"The Great Mouse Detective","Family"
"The Green Mile","Fantasy"
"The Gunman","Action"
"The Hangover","Comedy"
"The Hangover Part II","Comedy"
"The Hangover Part III","Comedy"
"The Hateful Eight","Drama"
"The Heat","Action"
"The Hit","Drama"
"The Hobbit: An Unexpected Journey","Adventure"
"The Hobbit: The Battle of the Five Armies","Adventure"
"The Hobbit: The Desolation of Smaug","Adventure"
"The Holiday","Comedy"
"The Hunchback of Notre Dame","Family"
"The Hunchback of Notre Dame II","Adventure"
"The Hunger Games","Science Fiction"
"The Hunger Games: Catching Fire","Science Fiction"
"The Iceman","Thriller"
"The Illusionist","Fantasy"
"The Imitation Game","History"
"The Impossible","Drama"
"The Inbetweeners 2","Comedy"
"The Inbetweeners Movie","Comedy"
"The Incredibles","Animation"
"The Infiltrator","Crime"
"The Intern","Comedy"
"The International","Adventure"
"The Internship","Comedy"
"The Interview","Action"
"The Judge","Drama"
"The Jungle Book","Adventure"
"The Karate Kid","Action"
"The Karate Kid Part II","Adventure"
"The Karate Kid  Part III","Adventure"
"The Keeper","Action"
"The King's Choice","War"
"The King's Speech","Drama"
"The Lake House","Romance"
"The Last Dragon","Action"
"The Last Stand","Action"
"The Last Witch Hunter","Fantasy"
"The Legend Is Born: Ip Man","Drama"
"The Legend of Barney Thomson","Thriller"
"The Legend of Hercules","Action"
"The Lego Movie","Adventure"
"The Letter Writer","Family"
"The Light Between Oceans","Drama"
"The Lion King","Animation"
"The Lion King 1½","Animation"
"The Lion King 2: Simba's Pride","Animation"
"The Little Mermaid","Animation"
"The Little Mermaid II: Return to the Sea","Animation"
